Holding,Date_quarter
ALMENDRAL,2017Q1
ALMENDRAL,2017Q2
ALMENDRAL,2017Q3
ALMENDRAL,2017Q4
ALMENDRAL,2018Q1
ALMENDRAL,2018Q2
ALMENDRAL,2018Q3
ALMENDRAL,2018Q4
ALMENDRAL,2019Q1
ALMENDRAL,2019Q2
ALMENDRAL,2019Q3
ALMENDRAL,2019Q4
ALMENDRAL,2020Q1
ALMENDRAL,2020Q2
ALMENDRAL,2020Q3
ALMENDRAL,2020Q4
ALMENDRAL,2021Q1
ALMENDRAL,2021Q2
ALMENDRAL,2021Q3
ALMENDRAL,2021Q4
ALMENDRAL,2022Q1
ALMENDRAL,2022Q2
ALMENDRAL,2022Q3
ALMENDRAL,2022Q4
ALMENDRAL,2023Q1
ALMENDRAL,2023Q2
ALMENDRAL,2023Q3
ALMENDRAL,2023Q4
ALMENDRAL,2024Q1
ALMENDRAL,2024Q2
ALMENDRAL,2024Q3
ALMENDRAL,2024Q4
ALMENDRAL,2025Q1
ALMENDRAL,2025Q2
ANTARCHILE,2017Q1
ANTARCHILE,2017Q2
ANTARCHILE,2017Q3
ANTARCHILE,2017Q4
ANTARCHILE,2018Q1
ANTARCHILE,2018Q2
ANTARCHILE,2018Q3
ANTARCHILE,2018Q4
ANTARCHILE,2019Q1
ANTARCHILE,2019Q2
ANTARCHILE,2019Q3
ANTARCHILE,2019Q4
ANTARCHILE,2020Q1
ANTARCHILE,2020Q2
ANTARCHILE,2020Q3
ANTARCHILE,2020Q4
ANTARCHILE,2021Q1
ANTARCHILE,2021Q2
ANTARCHILE,2021Q3
ANTARCHILE,2021Q4
ANTARCHILE,2022Q1
ANTARCHILE,2022Q2
ANTARCHILE,2022Q3
ANTARCHILE,2022Q4
ANTARCHILE,2023Q1
ANTARCHILE,2023Q2
ANTARCHILE,2023Q3
ANTARCHILE,2023Q4
ANTARCHILE,2024Q1
ANTARCHILE,2024Q2
ANTARCHILE,2024Q3
ANTARCHILE,2024Q4
ANTARCHILE,2025Q1
ANTARCHILE,2025Q2
IAM,2017Q1
IAM,2017Q2
IAM,2017Q3
IAM,2017Q4
IAM,2018Q1
IAM,2018Q2
IAM,2018Q3
IAM,2018Q4
IAM,2019Q1
IAM,2019Q2
IAM,2019Q3
IAM,2019Q4
IAM,2020Q1
IAM,2020Q2
IAM,2020Q3
IAM,2020Q4
IAM,2021Q1
IAM,2021Q2
IAM,2021Q3
IAM,2021Q4
IAM,2022Q1
IAM,2022Q2
IAM,2022Q3
IAM,2022Q4
IAM,2023Q1
IAM,2023Q2
IAM,2023Q3
IAM,2023Q4
IAM,2024Q1
IAM,2024Q2
IAM,2024Q3
IAM,2024Q4
IAM,2025Q1
IAM,2025Q2
INVERCAP,2017Q1
INVERCAP,2017Q2
INVERCAP,2017Q3
INVERCAP,2017Q4
INVERCAP,2018Q1
INVERCAP,2018Q2
INVERCAP,2018Q3
INVERCAP,2018Q4
INVERCAP,2019Q1
INVERCAP,2019Q2
INVERCAP,2019Q3
INVERCAP,2019Q4
INVERCAP,2020Q1
INVERCAP,2020Q2
INVERCAP,2020Q3
INVERCAP,2020Q4
INVERCAP,2021Q1
INVERCAP,2021Q2
INVERCAP,2021Q3
INVERCAP,2021Q4
INVERCAP,2022Q1
INVERCAP,2022Q2
INVERCAP,2022Q3
INVERCAP,2022Q4
INVERCAP,2023Q1
INVERCAP,2023Q2
INVERCAP,2023Q3
INVERCAP,2023Q4
INVERCAP,2024Q1
INVERCAP,2024Q2
INVERCAP,2024Q3
INVERCAP,2024Q4
INVERCAP,2025Q1
INVERCAP,2025Q2
