Date,ID,Holding,IS_HOLDING,Description,Balance2,Value
2017-03-31,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,78413.667
2017-06-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,108111.629
2017-09-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,137463.202
2017-12-31,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,145646.465
2018-03-31,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,49631.282
2018-06-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,32416.123
2018-09-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,9116.118
2018-12-31,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,72748.25
2019-03-31,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,34322.867
2019-06-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,25875.342
2019-09-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,34301.08
2019-12-31,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,447411.76
2020-03-31,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,299895.779
2020-06-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,340573.742
2020-09-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,302844.254
2020-12-31,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,202481.237
2021-03-31,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,50590.505
2021-06-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,106677.794
2021-09-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,115646.353
2021-12-31,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,108604.768
2022-03-31,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,111155.436
2022-06-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,211823.319
2022-09-30,ENTEL,ALMENDRAL,-1,Efectivo y equivalentes al efectivo,Cash,273598.994
