ID,Date,Balance2,Value
AGUAS-A,2017-03-31,Cash,-60193.925
AGUAS-A,2017-03-31,Debt,-859665.506
AGUAS-A,2017-06-30,Cash,-4908.739
AGUAS-A,2017-06-30,Debt,-871671.329
AGUAS-A,2017-09-30,Cash,-13358.091
AGUAS-A,2017-09-30,Debt,-869730.3790000001
AGUAS-A,2017-12-31,Cash,-18808.34
AGUAS-A,2017-12-31,Debt,-866023.519
AGUAS-A,2018-03-31,Cash,-32013.163
AGUAS-A,2018-03-31,Debt,-897554.0819999999
AGUAS-A,2018-06-30,Cash,-38567.275
AGUAS-A,2018-06-30,Debt,-963866.355
AGUAS-A,2018-09-30,Cash,-41850.362
AGUAS-A,2018-09-30,Debt,-972618.764
AGUAS-A,2018-12-31,Cash,-42304.712
AGUAS-A,2018-12-31,Debt,-946476.495
AGUAS-A,2019-03-31,Cash,-36936.226
AGUAS-A,2019-03-31,Debt,-976671.0569999999
AGUAS-A,2019-06-30,Cash,-18537.071
AGUAS-A,2019-06-30,Debt,-1033772.152
AGUAS-A,2019-09-30,Cash,-34161.317
AGUAS-A,2019-09-30,Debt,-1028938.088
AGUAS-A,2019-12-31,Cash,-72062.758
AGUAS-A,2019-12-31,Debt,-1042779.824
AGUAS-A,2020-03-31,Cash,-135353.93
AGUAS-A,2020-03-31,Debt,-1140558.559
AGUAS-A,2020-06-30,Cash,-167649.05800000002
AGUAS-A,2020-06-30,Debt,-1152076.662
AGUAS-A,2020-09-30,Cash,-186952.767
AGUAS-A,2020-09-30,Debt,-1064600.893
AGUAS-A,2020-12-31,Cash,-174945.586
AGUAS-A,2020-12-31,Debt,-1069794.256
AGUAS-A,2021-03-31,Cash,-186567.807
AGUAS-A,2021-03-31,Debt,-1079749.0350000001
AGUAS-A,2021-06-30,Cash,-136376.256
AGUAS-A,2021-06-30,Debt,-1082065.862
AGUAS-A,2021-09-30,Cash,-190104.458
AGUAS-A,2021-09-30,Debt,-1109354.828
AGUAS-A,2021-12-31,Cash,-163513.314
AGUAS-A,2021-12-31,Debt,-1153099.411
AGUAS-A,2022-03-31,Cash,-135653.505
AGUAS-A,2022-03-31,Debt,-1163367.8059999999
AGUAS-A,2022-06-30,Cash,-146863.788
AGUAS-A,2022-06-30,Debt,-1187277.425
AGUAS-A,2022-09-30,Cash,-169567.45
AGUAS-A,2022-09-30,Debt,-1237559.2179999999
AGUAS-A,2022-12-31,Cash,-179335.341
AGUAS-A,2022-12-31,Debt,-1297253.126
AGUAS-A,2023-03-31,Cash,-199617.488
AGUAS-A,2023-03-31,Debt,-1293611.449
AGUAS-A,2023-06-30,Cash,-165166.19
AGUAS-A,2023-06-30,Debt,-1293778.563
AGUAS-A,2023-09-30,Cash,-152701.795
AGUAS-A,2023-09-30,Debt,-1273585.203
AGUAS-A,2023-12-31,Cash,-109156.681
AGUAS-A,2023-12-31,Debt,-1280477.698
AGUAS-A,2024-03-31,Cash,-100188.694
AGUAS-A,2024-03-31,Debt,-1278349.317
AGUAS-A,2024-06-30,Cash,-107760.188
AGUAS-A,2024-06-30,Debt,-1344046.5890000002
AGUAS-A,2024-09-30,Cash,-81768.247
AGUAS-A,2024-09-30,Debt,-1319555.47
AGUAS-A,2024-12-31,Cash,-108758.431
AGUAS-A,2024-12-31,Debt,-1322217.0380000002
AGUAS-A,2025-03-31,Cash,-189068.566
AGUAS-A,2025-03-31,Debt,-1432070.651
AGUAS-A,2025-06-30,Cash,-186237.788
AGUAS-A,2025-06-30,Debt,-1429838.007
ALMENDRAL,2017-03-31,Cash,106570.194
ALMENDRAL,2017-03-31,Debt,1667815.5219999999
ALMENDRAL,2017-06-30,Cash,134180.113
ALMENDRAL,2017-06-30,Debt,1762379.625
ALMENDRAL,2017-09-30,Cash,162533.88999999998
ALMENDRAL,2017-09-30,Debt,1723444.313
ALMENDRAL,2017-12-31,Cash,167346.637
ALMENDRAL,2017-12-31,Debt,1696985.5080000001
ALMENDRAL,2018-03-31,Cash,70539.594
ALMENDRAL,2018-03-31,Debt,1719745.1139999998
ALMENDRAL,2018-06-30,Cash,59904.949
ALMENDRAL,2018-06-30,Debt,1764546.943
ALMENDRAL,2018-09-30,Cash,37157.996
ALMENDRAL,2018-09-30,Debt,1793028.331
ALMENDRAL,2018-12-31,Cash,106843.59
ALMENDRAL,2018-12-31,Debt,1885184.467
ALMENDRAL,2019-03-31,Cash,63974.062
ALMENDRAL,2019-03-31,Debt,1860034.737
ALMENDRAL,2019-06-30,Cash,52148.483
ALMENDRAL,2019-06-30,Debt,1903139.199
