Description,Value,Curncy,Date,ID
Efectivo y equivalentes al efectivo,511.847,USD,2017-03-31,SQM-B
Otros activos financieros corrientes,353.890,USD,2017-03-31,SQM-B
Otros activos no financieros corrientes,50.524,USD,2017-03-31,SQM-B
Deudores comerciales y otras cuentas por cobrar corrientes,421.379,USD,2017-03-31,SQM-B
"Cuentas por cobrar a entidades relacionadas, corrientes",59.395,USD,2017-03-31,SQM-B
Inventarios corrientes,959.340,USD,2017-03-31,SQM-B
Activos biológicos corrientes,-,USD,2017-03-31,SQM-B
"Activos por impuestos corrientes, corrientes",41.708,USD,2017-03-31,SQM-B
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2.398.083,USD,2017-03-31,SQM-B
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,1.964,USD,2017-03-31,SQM-B
Activos corrientes totales,2.400.047,USD,2017-03-31,SQM-B
Otros activos financieros no corrientes,19.859,USD,2017-03-31,SQM-B
Otros activos no financieros no corrientes,23.376,USD,2017-03-31,SQM-B
Cuentas por cobrar no corrientes,1.093,USD,2017-03-31,SQM-B
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2017-03-31,SQM-B
"Inventarios, no corrientes",-,USD,2017-03-31,SQM-B
Inversiones contabilizadas utilizando el método de la participación,128.388,USD,2017-03-31,SQM-B
Activos intangibles distintos de la plusvalía,109.350,USD,2017-03-31,SQM-B
Plusvalía,44.177,USD,2017-03-31,SQM-B
"Propiedades, planta y equipo",1.490.949,USD,2017-03-31,SQM-B
Activos biológicos no corrientes,-,USD,2017-03-31,SQM-B
Propiedad de inversión,-,USD,2017-03-31,SQM-B
"Activos por impuestos corrientes, no corrientes",31.857,USD,2017-03-31,SQM-B
Activos por impuestos diferidos,401,USD,2017-03-31,SQM-B
Total de activos no corrientes,1.849.450,USD,2017-03-31,SQM-B
Total de activos,4.249.497,USD,2017-03-31,SQM-B
Otros pasivos financieros corrientes,158.844,USD,2017-03-31,SQM-B
Cuentas por pagar comerciales y otras cuentas por pagar,166.917,USD,2017-03-31,SQM-B
"Cuentas por pagar a entidades relacionadas, corrientes",229,USD,2017-03-31,SQM-B
Otras provisiones a corto plazo,38.142,USD,2017-03-31,SQM-B
"Pasivos por impuestos corrientes, corrientes",78.356,USD,2017-03-31,SQM-B
Provisiones corrientes por beneficios a los empleados,8.831,USD,2017-03-31,SQM-B
Otros pasivos no financieros corrientes,213.956,USD,2017-03-31,SQM-B
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,665.275,USD,2017-03-31,SQM-B
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2017-03-31,SQM-B
Pasivos corrientes totales,665.275,USD,2017-03-31,SQM-B
Otros pasivos financieros no corrientes,1.063.627,USD,2017-03-31,SQM-B
Cuentas por pagar no corrientes,-,USD,2017-03-31,SQM-B
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2017-03-31,SQM-B
Otras provisiones a largo plazo,13.686,USD,2017-03-31,SQM-B
Pasivo por impuestos diferidos,227.334,USD,2017-03-31,SQM-B
"Pasivos por impuestos corrientes, no corrientes",-,USD,2017-03-31,SQM-B
Provisiones no corrientes por beneficios a los empleados,23.571,USD,2017-03-31,SQM-B
Otros pasivos no financieros no corrientes,-,USD,2017-03-31,SQM-B
Total de pasivos no corrientes,1.328.218,USD,2017-03-31,SQM-B
Total de pasivos,1.993.493,USD,2017-03-31,SQM-B
Capital emitido,477.386,USD,2017-03-31,SQM-B
Ganancias (pérdidas) acumuladas,1.728.284,USD,2017-03-31,SQM-B
Prima de emisión,-,USD,2017-03-31,SQM-B
Acciones propias en cartera,-,USD,2017-03-31,SQM-B
Otras participaciones en el patrimonio,-,USD,2017-03-31,SQM-B
Otras reservas,-10.675,USD,2017-03-31,SQM-B
Patrimonio atribuible a los propietarios de la controladora,2.194.995,USD,2017-03-31,SQM-B
Participaciones no controladoras,61.009,USD,2017-03-31,SQM-B
Patrimonio total,2.256.004,USD,2017-03-31,SQM-B
Total de patrimonio y pasivos,4.249.497,USD,2017-03-31,SQM-B
Efectivo y equivalentes al efectivo,517.625,USD,2017-06-30,SQM-B
Otros activos financieros corrientes,325.837,USD,2017-06-30,SQM-B
Otros activos no financieros corrientes,39.217,USD,2017-06-30,SQM-B
Deudores comerciales y otras cuentas por cobrar corrientes,381.441,USD,2017-06-30,SQM-B
"Cuentas por cobrar a entidades relacionadas, corrientes",55.574,USD,2017-06-30,SQM-B
Inventarios corrientes,951.857,USD,2017-06-30,SQM-B
Activos biológicos corrientes,-,USD,2017-06-30,SQM-B
"Activos por impuestos corrientes, corrientes",46.405,USD,2017-06-30,SQM-B
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2.317.956,USD,2017-06-30,SQM-B
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,1.850,USD,2017-06-30,SQM-B
Activos corrientes totales,2.319.806,USD,2017-06-30,SQM-B
Otros activos financieros no corrientes,30.683,USD,2017-06-30,SQM-B
Otros activos no financieros no corrientes,31.161,USD,2017-06-30,SQM-B
Cuentas por cobrar no corrientes,2.560,USD,2017-06-30,SQM-B
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2017-06-30,SQM-B
"Inventarios, no corrientes",-,USD,2017-06-30,SQM-B
Inversiones contabilizadas utilizando el método de la participación,109.332,USD,2017-06-30,SQM-B
Activos intangibles distintos de la plusvalía,108.932,USD,2017-06-30,SQM-B
Plusvalía,44.177,USD,2017-06-30,SQM-B
"Propiedades, planta y equipo",1.448.773,USD,2017-06-30,SQM-B
Activos biológicos no corrientes,-,USD,2017-06-30,SQM-B
Propiedad de inversión,-,USD,2017-06-30,SQM-B
"Activos por impuestos corrientes, no corrientes",31.857,USD,2017-06-30,SQM-B
Activos por impuestos diferidos,457,USD,2017-06-30,SQM-B
Total de activos no corrientes,1.807.932,USD,2017-06-30,SQM-B
Total de activos,4.127.738,USD,2017-06-30,SQM-B
Otros pasivos financieros corrientes,137.551,USD,2017-06-30,SQM-B
Cuentas por pagar comerciales y otras cuentas por pagar,159.878,USD,2017-06-30,SQM-B
"Cuentas por pagar a entidades relacionadas, corrientes",1.251,USD,2017-06-30,SQM-B
Otras provisiones a corto plazo,35.724,USD,2017-06-30,SQM-B
"Pasivos por impuestos corrientes, corrientes",47.299,USD,2017-06-30,SQM-B
Provisiones corrientes por beneficios a los empleados,9.936,USD,2017-06-30,SQM-B
Otros pasivos no financieros corrientes,161.952,USD,2017-06-30,SQM-B
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,553.591,USD,2017-06-30,SQM-B
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2017-06-30,SQM-B
Pasivos corrientes totales,553.591,USD,2017-06-30,SQM-B
Otros pasivos financieros no corrientes,1.062.886,USD,2017-06-30,SQM-B
Cuentas por pagar no corrientes,-,USD,2017-06-30,SQM-B
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2017-06-30,SQM-B
Otras provisiones a largo plazo,13.619,USD,2017-06-30,SQM-B
Pasivo por impuestos diferidos,222.988,USD,2017-06-30,SQM-B
"Pasivos por impuestos corrientes, no corrientes",-,USD,2017-06-30,SQM-B
Provisiones no corrientes por beneficios a los empleados,26.565,USD,2017-06-30,SQM-B
Otros pasivos no financieros no corrientes,-,USD,2017-06-30,SQM-B
Total de pasivos no corrientes,1.326.058,USD,2017-06-30,SQM-B
Total de pasivos,1.879.649,USD,2017-06-30,SQM-B
Capital emitido,477.386,USD,2017-06-30,SQM-B
Ganancias (pérdidas) acumuladas,1.724.784,USD,2017-06-30,SQM-B
Prima de emisión,-,USD,2017-06-30,SQM-B
Acciones propias en cartera,-,USD,2017-06-30,SQM-B
Otras participaciones en el patrimonio,-,USD,2017-06-30,SQM-B
Otras reservas,-13.112,USD,2017-06-30,SQM-B
Patrimonio atribuible a los propietarios de la controladora,2.189.058,USD,2017-06-30,SQM-B
Participaciones no controladoras,59.031,USD,2017-06-30,SQM-B
Patrimonio total,2.248.089,USD,2017-06-30,SQM-B
Total de patrimonio y pasivos,4.127.738,USD,2017-06-30,SQM-B
Efectivo y equivalentes al efectivo,520.561,USD,2017-09-30,SQM-B
Otros activos financieros corrientes,384.232,USD,2017-09-30,SQM-B
Otros activos no financieros corrientes,34.858,USD,2017-09-30,SQM-B
Deudores comerciales y otras cuentas por cobrar corrientes,377.286,USD,2017-09-30,SQM-B
"Cuentas por cobrar a entidades relacionadas, corrientes",62.855,USD,2017-09-30,SQM-B
Inventarios corrientes,916.386,USD,2017-09-30,SQM-B
Activos biológicos corrientes,-,USD,2017-09-30,SQM-B
"Activos por impuestos corrientes, corrientes",51.414,USD,2017-09-30,SQM-B
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2.347.592,USD,2017-09-30,SQM-B
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,1.894,USD,2017-09-30,SQM-B
Activos corrientes totales,2.349.486,USD,2017-09-30,SQM-B
Otros activos financieros no corrientes,35.242,USD,2017-09-30,SQM-B
Otros activos no financieros no corrientes,27.710,USD,2017-09-30,SQM-B
Cuentas por cobrar no corrientes,1.466,USD,2017-09-30,SQM-B
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2017-09-30,SQM-B
"Inventarios, no corrientes",-,USD,2017-09-30,SQM-B
Inversiones contabilizadas utilizando el método de la participación,111.378,USD,2017-09-30,SQM-B
