Description,Value,Curncy,Date,ID
Efectivo y equivalentes al efectivo,101.575.334,CLP,2017-03-31,ALMENDRAL
Otros activos financieros corrientes,4.994.860,CLP,2017-03-31,ALMENDRAL
Otros activos no financieros corrientes,33.422.763,CLP,2017-03-31,ALMENDRAL
Deudores comerciales y otras cuentas por cobrar corrientes,308.308.241,CLP,2017-03-31,ALMENDRAL
"Cuentas por cobrar a entidades relacionadas, corrientes",597.354,CLP,2017-03-31,ALMENDRAL
Inventarios corrientes,108.875.575,CLP,2017-03-31,ALMENDRAL
Activos biológicos corrientes,-,CLP,2017-03-31,ALMENDRAL
"Activos por impuestos corrientes, corrientes",227.011.369,CLP,2017-03-31,ALMENDRAL
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,784.785.496,CLP,2017-03-31,ALMENDRAL
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,-,CLP,2017-03-31,ALMENDRAL
Activos corrientes totales,784.785.496,CLP,2017-03-31,ALMENDRAL
Otros activos financieros no corrientes,87.154.200,CLP,2017-03-31,ALMENDRAL
Otros activos no financieros no corrientes,4.785.009,CLP,2017-03-31,ALMENDRAL
Cuentas por cobrar no corrientes,12.844.061,CLP,2017-03-31,ALMENDRAL
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,CLP,2017-03-31,ALMENDRAL
"Inventarios, no corrientes",-,CLP,2017-03-31,ALMENDRAL
Inversiones contabilizadas utilizando el método de la participación,-,CLP,2017-03-31,ALMENDRAL
Activos intangibles distintos de la plusvalía,526.946.749,CLP,2017-03-31,ALMENDRAL
Plusvalía,92.471.842,CLP,2017-03-31,ALMENDRAL
"Propiedades, planta y equipo",1.845.814.476,CLP,2017-03-31,ALMENDRAL
Activos biológicos no corrientes,-,CLP,2017-03-31,ALMENDRAL
Propiedad de inversión,1.925.954,CLP,2017-03-31,ALMENDRAL
"Activos por impuestos corrientes, no corrientes",-,CLP,2017-03-31,ALMENDRAL
Activos por impuestos diferidos,394.438.293,CLP,2017-03-31,ALMENDRAL
Total de activos no corrientes,2.966.380.584,CLP,2017-03-31,ALMENDRAL
