Description,Value,Curncy,Date,ID
Efectivo y equivalentes al efectivo,22.749,USD,2017-03-31,ORO_BLANCO
Otros activos financieros corrientes,38.889,USD,2017-03-31,ORO_BLANCO
Otros activos no financieros corrientes,-,USD,2017-03-31,ORO_BLANCO
Deudores comerciales y otras cuentas por cobrar corrientes,-,USD,2017-03-31,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, corrientes",335.718,USD,2017-03-31,ORO_BLANCO
Inventarios corrientes,-,USD,2017-03-31,ORO_BLANCO
Activos biológicos corrientes,-,USD,2017-03-31,ORO_BLANCO
"Activos por impuestos corrientes, corrientes",23.930,USD,2017-03-31,ORO_BLANCO
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,421.286,USD,2017-03-31,ORO_BLANCO
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,-,USD,2017-03-31,ORO_BLANCO
Activos corrientes totales,421.286,USD,2017-03-31,ORO_BLANCO
Otros activos financieros no corrientes,-,USD,2017-03-31,ORO_BLANCO
Otros activos no financieros no corrientes,-,USD,2017-03-31,ORO_BLANCO
Cuentas por cobrar no corrientes,-,USD,2017-03-31,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2017-03-31,ORO_BLANCO
"Inventarios, no corrientes",-,USD,2017-03-31,ORO_BLANCO
Inversiones contabilizadas utilizando el método de la participación,985.849,USD,2017-03-31,ORO_BLANCO
Activos intangibles distintos de la plusvalía,-,USD,2017-03-31,ORO_BLANCO
Plusvalía,486.669,USD,2017-03-31,ORO_BLANCO
"Propiedades, planta y equipo",1,USD,2017-03-31,ORO_BLANCO
Activos biológicos no corrientes,-,USD,2017-03-31,ORO_BLANCO
Propiedad de inversión,-,USD,2017-03-31,ORO_BLANCO
"Activos por impuestos corrientes, no corrientes",-,USD,2017-03-31,ORO_BLANCO
Activos por impuestos diferidos,2.607,USD,2017-03-31,ORO_BLANCO
Total de activos no corrientes,1.475.126,USD,2017-03-31,ORO_BLANCO
Total de activos,1.896.412,USD,2017-03-31,ORO_BLANCO
Otros pasivos financieros corrientes,60.306,USD,2017-03-31,ORO_BLANCO
Cuentas por pagar comerciales y otras cuentas por pagar,1.353,USD,2017-03-31,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, corrientes",-,USD,2017-03-31,ORO_BLANCO
Otras provisiones a corto plazo,-,USD,2017-03-31,ORO_BLANCO
"Pasivos por impuestos corrientes, corrientes",586,USD,2017-03-31,ORO_BLANCO
Provisiones corrientes por beneficios a los empleados,-,USD,2017-03-31,ORO_BLANCO
Otros pasivos no financieros corrientes,9.408,USD,2017-03-31,ORO_BLANCO
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,71.653,USD,2017-03-31,ORO_BLANCO
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2017-03-31,ORO_BLANCO
Pasivos corrientes totales,71.653,USD,2017-03-31,ORO_BLANCO
Otros pasivos financieros no corrientes,478.325,USD,2017-03-31,ORO_BLANCO
Cuentas por pagar no corrientes,-,USD,2017-03-31,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2017-03-31,ORO_BLANCO
Otras provisiones a largo plazo,-,USD,2017-03-31,ORO_BLANCO
Pasivo por impuestos diferidos,1.828,USD,2017-03-31,ORO_BLANCO
"Pasivos por impuestos corrientes, no corrientes",-,USD,2017-03-31,ORO_BLANCO
Provisiones no corrientes por beneficios a los empleados,-,USD,2017-03-31,ORO_BLANCO
Otros pasivos no financieros no corrientes,-,USD,2017-03-31,ORO_BLANCO
Total de pasivos no corrientes,480.153,USD,2017-03-31,ORO_BLANCO
Total de pasivos,551.806,USD,2017-03-31,ORO_BLANCO
Capital emitido,775.504,USD,2017-03-31,ORO_BLANCO
Ganancias (pérdidas) acumuladas,464.299,USD,2017-03-31,ORO_BLANCO
Prima de emisión,83.212,USD,2017-03-31,ORO_BLANCO
Acciones propias en cartera,-,USD,2017-03-31,ORO_BLANCO
Otras participaciones en el patrimonio,851,USD,2017-03-31,ORO_BLANCO
Otras reservas,-96.645,USD,2017-03-31,ORO_BLANCO
Patrimonio atribuible a los propietarios de la controladora,1.227.221,USD,2017-03-31,ORO_BLANCO
Participaciones no controladoras,117.385,USD,2017-03-31,ORO_BLANCO
Patrimonio total,1.344.606,USD,2017-03-31,ORO_BLANCO
Total de patrimonio y pasivos,1.896.412,USD,2017-03-31,ORO_BLANCO
Efectivo y equivalentes al efectivo,50.598,USD,2017-06-30,ORO_BLANCO
Otros activos financieros corrientes,26.123,USD,2017-06-30,ORO_BLANCO
Otros activos no financieros corrientes,-,USD,2017-06-30,ORO_BLANCO
Deudores comerciales y otras cuentas por cobrar corrientes,-,USD,2017-06-30,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, corrientes",330.349,USD,2017-06-30,ORO_BLANCO
Inventarios corrientes,-,USD,2017-06-30,ORO_BLANCO
Activos biológicos corrientes,-,USD,2017-06-30,ORO_BLANCO
"Activos por impuestos corrientes, corrientes",25.907,USD,2017-06-30,ORO_BLANCO
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,432.977,USD,2017-06-30,ORO_BLANCO
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,-,USD,2017-06-30,ORO_BLANCO
Activos corrientes totales,432.977,USD,2017-06-30,ORO_BLANCO
Otros activos financieros no corrientes,-,USD,2017-06-30,ORO_BLANCO
Otros activos no financieros no corrientes,-,USD,2017-06-30,ORO_BLANCO
Cuentas por cobrar no corrientes,-,USD,2017-06-30,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2017-06-30,ORO_BLANCO
"Inventarios, no corrientes",-,USD,2017-06-30,ORO_BLANCO
Inversiones contabilizadas utilizando el método de la participación,984.480,USD,2017-06-30,ORO_BLANCO
Activos intangibles distintos de la plusvalía,-,USD,2017-06-30,ORO_BLANCO
Plusvalía,486.669,USD,2017-06-30,ORO_BLANCO
"Propiedades, planta y equipo",-,USD,2017-06-30,ORO_BLANCO
Activos biológicos no corrientes,-,USD,2017-06-30,ORO_BLANCO
Propiedad de inversión,-,USD,2017-06-30,ORO_BLANCO
"Activos por impuestos corrientes, no corrientes",-,USD,2017-06-30,ORO_BLANCO
Activos por impuestos diferidos,2.716,USD,2017-06-30,ORO_BLANCO
Total de activos no corrientes,1.473.865,USD,2017-06-30,ORO_BLANCO
Total de activos,1.906.842,USD,2017-06-30,ORO_BLANCO
Otros pasivos financieros corrientes,66.498,USD,2017-06-30,ORO_BLANCO
Cuentas por pagar comerciales y otras cuentas por pagar,244,USD,2017-06-30,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, corrientes",-,USD,2017-06-30,ORO_BLANCO
Otras provisiones a corto plazo,-,USD,2017-06-30,ORO_BLANCO
"Pasivos por impuestos corrientes, corrientes",518,USD,2017-06-30,ORO_BLANCO
Provisiones corrientes por beneficios a los empleados,-,USD,2017-06-30,ORO_BLANCO
Otros pasivos no financieros corrientes,6.132,USD,2017-06-30,ORO_BLANCO
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,73.392,USD,2017-06-30,ORO_BLANCO
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2017-06-30,ORO_BLANCO
Pasivos corrientes totales,73.392,USD,2017-06-30,ORO_BLANCO
Otros pasivos financieros no corrientes,478.480,USD,2017-06-30,ORO_BLANCO
Cuentas por pagar no corrientes,-,USD,2017-06-30,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2017-06-30,ORO_BLANCO
Otras provisiones a largo plazo,-,USD,2017-06-30,ORO_BLANCO
Pasivo por impuestos diferidos,1.698,USD,2017-06-30,ORO_BLANCO
"Pasivos por impuestos corrientes, no corrientes",-,USD,2017-06-30,ORO_BLANCO
Provisiones no corrientes por beneficios a los empleados,53,USD,2017-06-30,ORO_BLANCO
Otros pasivos no financieros no corrientes,-,USD,2017-06-30,ORO_BLANCO
Total de pasivos no corrientes,480.231,USD,2017-06-30,ORO_BLANCO
Total de pasivos,553.623,USD,2017-06-30,ORO_BLANCO
Capital emitido,775.504,USD,2017-06-30,ORO_BLANCO
Ganancias (pérdidas) acumuladas,475.594,USD,2017-06-30,ORO_BLANCO
Prima de emisión,83.212,USD,2017-06-30,ORO_BLANCO
Acciones propias en cartera,-,USD,2017-06-30,ORO_BLANCO
Otras participaciones en el patrimonio,851,USD,2017-06-30,ORO_BLANCO
Otras reservas,-100.579,USD,2017-06-30,ORO_BLANCO
Patrimonio atribuible a los propietarios de la controladora,1.234.582,USD,2017-06-30,ORO_BLANCO
Participaciones no controladoras,118.637,USD,2017-06-30,ORO_BLANCO
Patrimonio total,1.353.219,USD,2017-06-30,ORO_BLANCO
Total de patrimonio y pasivos,1.906.842,USD,2017-06-30,ORO_BLANCO
Efectivo y equivalentes al efectivo,43.491,USD,2017-09-30,ORO_BLANCO
Otros activos financieros corrientes,36.350,USD,2017-09-30,ORO_BLANCO
Otros activos no financieros corrientes,-,USD,2017-09-30,ORO_BLANCO
Deudores comerciales y otras cuentas por cobrar corrientes,-,USD,2017-09-30,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, corrientes",373.026,USD,2017-09-30,ORO_BLANCO
Inventarios corrientes,-,USD,2017-09-30,ORO_BLANCO
Activos biológicos corrientes,-,USD,2017-09-30,ORO_BLANCO
"Activos por impuestos corrientes, corrientes",27.549,USD,2017-09-30,ORO_BLANCO
