Date,Date_quarter,ID,Holding,pct_holding,Price,eqy_shares_total,MarketCap,HoldingValue
2017-01-03,2017Q1,AGUAS-A,IAM,0.501,349.89,6140.335714,2148442.0629714597,1076369.4735487013
2017-01-04,2017Q1,AGUAS-A,IAM,0.501,355.46,6140.335714,2182643.7328984397,1093504.5101821183
2017-01-05,2017Q1,AGUAS-A,IAM,0.501,374.64,6140.335714,2300415.37189296,1152508.1013183729
2017-01-06,2017Q1,AGUAS-A,IAM,0.501,372.48,6140.335714,2287152.24675072,1145863.2756221106
2017-01-07,2017Q1,AGUAS-A,IAM,0.501,372.48,6140.335714,2287152.24675072,1145863.2756221106
2017-01-08,2017Q1,AGUAS-A,IAM,0.501,372.48,6140.335714,2287152.24675072,1145863.2756221106
2017-01-09,2017Q1,AGUAS-A,IAM,0.501,369.15,6140.335714,2266704.9288231,1135619.169340373
2017-01-10,2017Q1,AGUAS-A,IAM,0.501,365.87,6140.335714,2246564.62768118,1125528.878468271
2017-01-11,2017Q1,AGUAS-A,IAM,0.501,367.62,6140.335714,2257310.21518068,1130912.4178055208
2017-01-12,2017Q1,AGUAS-A,IAM,0.501,375.61,6140.335714,2306371.49753554,1155492.1202653055
2017-01-13,2017Q1,AGUAS-A,IAM,0.501,364.72,6140.335714,2239503.24161008,1121991.12404665
2017-01-14,2017Q1,AGUAS-A,IAM,0.501,364.72,6140.335714,2239503.24161008,1121991.12404665
2017-01-15,2017Q1,AGUAS-A,IAM,0.501,364.72,6140.335714,2239503.24161008,1121991.12404665
2017-01-16,2017Q1,AGUAS-A,IAM,0.501,362.02,6140.335714,2222924.33518228,1113685.091926322
2017-01-17,2017Q1,AGUAS-A,IAM,0.501,361.11,6140.335714,2217336.62968254,1110885.6514709524
2017-01-18,2017Q1,AGUAS-A,IAM,0.501,361.89,6140.335714,2222126.09153946,1113285.1718612693
2017-01-19,2017Q1,AGUAS-A,IAM,0.501,360.8,6140.335714,2215433.1256112,1109931.9959312112
2017-01-20,2017Q1,AGUAS-A,IAM,0.501,356.91,6140.335714,2191547.2196837403,1097965.1570615538
2017-01-21,2017Q1,AGUAS-A,IAM,0.501,356.91,6140.335714,2191547.2196837403,1097965.1570615538
2017-01-22,2017Q1,AGUAS-A,IAM,0.501,356.91,6140.335714,2191547.2196837403,1097965.1570615538
2017-01-23,2017Q1,AGUAS-A,IAM,0.501,351.86,6140.335714,2160538.52432804,1082429.800688348
2017-01-24,2017Q1,AGUAS-A,IAM,0.501,353.1,6140.335714,2168152.5406134003,1086244.4228473136
2017-01-25,2017Q1,AGUAS-A,IAM,0.501,357.82,6140.335714,2197134.9251834797,1100764.5975169232
2017-01-26,2017Q1,AGUAS-A,IAM,0.501,360.6,6140.335714,2214205.0584684,1109316.7342926685
2017-01-27,2017Q1,AGUAS-A,IAM,0.501,356.1,6140.335714,2186573.5477554,1095473.3474254555
2017-01-28,2017Q1,AGUAS-A,IAM,0.501,356.1,6140.335714,2186573.5477554,1095473.3474254555
2017-01-29,2017Q1,AGUAS-A,IAM,0.501,356.1,6140.335714,2186573.5477554,1095473.3474254555
2017-01-30,2017Q1,AGUAS-A,IAM,0.501,356.21,6140.335714,2187248.9846839397,1095811.7413266539
2017-01-31,2017Q1,AGUAS-A,IAM,0.501,351.93,6140.335714,2160968.34782802,1082645.142261838
2017-02-01,2017Q1,AGUAS-A,IAM,0.501,351.63,6140.335714,2159126.2471138197,1081722.2498040237
2017-02-02,2017Q1,AGUAS-A,IAM,0.501,350.15,6140.335714,2150038.5502571,1077169.313678807
2017-02-03,2017Q1,AGUAS-A,IAM,0.501,354.37,6140.335714,2175950.76697018,1090151.3342520602
2017-02-04,2017Q1,AGUAS-A,IAM,0.501,354.37,6140.335714,2175950.76697018,1090151.3342520602
2017-02-05,2017Q1,AGUAS-A,IAM,0.501,354.37,6140.335714,2175950.76697018,1090151.3342520602
2017-02-06,2017Q1,AGUAS-A,IAM,0.501,348.39,6140.335714,2139231.5594004598,1071755.0112596303
2017-02-07,2017Q1,AGUAS-A,IAM,0.501,345.24,6140.335714,2119889.5019013598,1062064.6404525812
2017-02-08,2017Q1,AGUAS-A,IAM,0.501,342.39,6140.335714,2102389.54511646,1053297.1621033465
2017-02-09,2017Q1,AGUAS-A,IAM,0.501,343.82,6140.335714,2111170.22518748,1057696.2828189274
2017-02-10,2017Q1,AGUAS-A,IAM,0.501,349.91,6140.335714,2148564.86968574,1076430.999712556
2017-02-11,2017Q1,AGUAS-A,IAM,0.501,349.91,6140.335714,2148564.86968574,1076430.999712556
2017-02-12,2017Q1,AGUAS-A,IAM,0.501,349.91,6140.335714,2148564.86968574,1076430.999712556
2017-02-13,2017Q1,AGUAS-A,IAM,0.501,349.28,6140.335714,2144696.4581859196,1074492.9255511458
2017-02-14,2017Q1,AGUAS-A,IAM,0.501,347.91,6140.335714,2136284.19825774,1070278.383327128
2017-02-15,2017Q1,AGUAS-A,IAM,0.501,347.56,6140.335714,2134135.08075784,1069201.6754596778
2017-02-16,2017Q1,AGUAS-A,IAM,0.501,348.97,6140.335714,2142792.95411458,1073539.2700114045
2017-02-17,2017Q1,AGUAS-A,IAM,0.501,347.68,6140.335714,2134871.92104352,1069570.8324428035
2017-02-18,2017Q1,AGUAS-A,IAM,0.501,347.68,6140.335714,2134871.92104352,1069570.8324428035
2017-02-19,2017Q1,AGUAS-A,IAM,0.501,347.68,6140.335714,2134871.92104352,1069570.8324428035
2017-02-20,2017Q1,AGUAS-A,IAM,0.501,349.01,6140.335714,2143038.5675431397,1073662.3223391129
2017-02-21,2017Q1,AGUAS-A,IAM,0.501,347.68,6140.335714,2134871.92104352,1069570.8324428035
2017-02-22,2017Q1,AGUAS-A,IAM,0.501,345.96,6140.335714,2124310.54361544,1064279.5823513353
2017-02-23,2017Q1,AGUAS-A,IAM,0.501,346.01,6140.335714,2124617.56040114,1064433.397760971
2017-02-24,2017Q1,AGUAS-A,IAM,0.501,342.29,6140.335714,2101775.51154506,1052989.5312840752
2017-02-25,2017Q1,AGUAS-A,IAM,0.501,342.29,6140.335714,2101775.51154506,1052989.5312840752
2017-02-26,2017Q1,AGUAS-A,IAM,0.501,342.29,6140.335714,2101775.51154506,1052989.5312840752
2017-02-27,2017Q1,AGUAS-A,IAM,0.501,344.65,6140.335714,2116266.7038300997,1060249.61861888
2017-02-28,2017Q1,AGUAS-A,IAM,0.501,350.16,6140.335714,2150099.95361424,1077200.0767607342
2017-03-01,2017Q1,AGUAS-A,IAM,0.501,355.96,6140.335714,2185713.90075544,1095042.6642784753
