<TICKER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AGUAS-A;20151111;363.92;364.8;360.01;361.85;1133665
AGUAS-A;20151112;361.85;365;361.91;364.87;6389346
AGUAS-A;20151113;364.87;364.8;360.11;361.72;2941392
AGUAS-A;20151116;361.72;364.34;360.01;360.39;8214128
AGUAS-A;20151117;360.39;361.52;356.99;357.51;3113316
AGUAS-A;20151118;357.51;363.99;358;362.5;2319073
AGUAS-A;20151119;362.5;364.99;362.5;363.3;9096855
AGUAS-A;20151120;363.3;363.99;360;363.8;2996335
AGUAS-A;20151123;363.8;364.5;363;363.9;1781644
AGUAS-A;20151124;363.9;363.59;360.21;361.19;3740137
AGUAS-A;20151125;361.19;361.5;357;361.47;3146997
AGUAS-A;20151126;361.47;361.02;360;360.29;2387180
AGUAS-A;20151127;360.29;361.3;358.88;359.47;1477668
AGUAS-A;20151130;359.47;360;352.95;353.3;13641348
AGUAS-A;20151201;353.3;359.7;354;355.94;5082849
AGUAS-A;20151202;355.94;357.5;353.81;357.02;5583424
AGUAS-A;20151203;357.02;357.99;356.2;356.8;4040380
AGUAS-A;20151204;356.8;361.99;356.38;360.32;1686022
AGUAS-A;20151207;360.32;358.5;357;357.78;2176366
AGUAS-A;20151209;357.78;361.89;353.7;354.77;11017844
AGUAS-A;20151210;354.77;360;355;359.8;3984242
AGUAS-A;20151211;359.8;360;357;359.18;6141468
AGUAS-A;20151214;359.18;361;350;355.48;1730867
AGUAS-A;20151215;355.48;358;356.5;356.69;3484297
AGUAS-A;20151216;356.69;364.99;358.1;361.62;3997286
AGUAS-A;20151217;361.62;365;360;361.29;7209542
AGUAS-A;20151218;361.29;362.9;353;355.23;4963835
AGUAS-A;20151221;355.23;359.99;352;352.06;4210609
AGUAS-A;20151222;352.06;356.95;350;355.13;2073769
AGUAS-A;20151223;355.13;358.99;355.01;358.62;1416887
AGUAS-A;20151224;358.62;361.5;357.7;361.24;916455
AGUAS-A;20151228;361.24;365;361.24;362.35;1557146
AGUAS-A;20151229;362.4;365.35;355.02;357.59;4819718
AGUAS-A;20151230;357.59;366;359.1;363.58;2306540
