Date,Date_quarter,Holding,HoldingValue,NetDebt,eqy_shares_total,NAV,NAV_PS,Price,stale,Discount
2017-01-03,2017Q1,ALMENDRAL,1163512.9091590897,47272.77599999997,18048.204643,1116240.1331590896,61.84771035339648,,False,
2017-01-04,2017Q1,ALMENDRAL,1164857.9531969086,47272.77599999997,18048.204643,1117585.1771969085,61.922235441316545,,False,
2017-01-05,2017Q1,ALMENDRAL,1160789.6101195556,47272.77599999997,18048.204643,1113516.8341195555,61.696820051928725,50.85,False,0.17580841350979215
2017-01-06,2017Q1,ALMENDRAL,1163164.1940381736,47272.77599999997,18048.204643,1115891.4180381736,61.82838903430609,50.85,False,0.17756226881820625
2017-01-09,2017Q1,ALMENDRAL,1163247.2214479155,47272.77599999997,18048.204643,1115974.4454479155,61.83298934837523,50.85,False,0.17762345738284813
2017-01-10,2017Q1,ALMENDRAL,1168096.0221768424,47272.77599999997,18048.204643,1120823.2461768424,62.10164769001297,50.8,False,0.18198627750468643
2017-01-11,2017Q1,ALMENDRAL,1175983.6261023232,47272.77599999997,18048.204643,1128710.850102323,62.538677526581225,50.8,False,0.18770268241748256
2017-01-12,2017Q1,ALMENDRAL,1187873.1511773632,47272.77599999997,18048.204643,1140600.3751773632,63.19744250128199,50.8,False,0.196170003256548
2017-01-13,2017Q1,ALMENDRAL,1177494.7249596256,47272.77599999997,18048.204643,1130221.9489596256,62.62240324263956,50.84,False,0.18814996922087013
2017-01-16,2017Q1,ALMENDRAL,1168245.4715143782,47272.77599999997,18048.204643,1120972.6955143781,62.109928255337444,50.0,False,0.19497572442126865
2017-01-17,2017Q1,ALMENDRAL,1187076.088043841,47272.77599999997,18048.204643,1139803.312043841,63.15327948621825,49.0,False,0.22410996865660604
2017-01-18,2017Q1,ALMENDRAL,1201207.3531819126,47272.77599999997,18048.204643,1153934.5771819125,63.936252940785785,50.1,False,0.21640700391998502
2017-01-19,2017Q1,ALMENDRAL,1199596.6214329195,47272.77599999997,18048.204643,1152323.8454329195,63.84700684784447,50.1,False,0.21531168846497895
2017-01-20,2017Q1,ALMENDRAL,1182542.7914719332,47272.77599999997,18048.204643,1135270.0154719332,62.902102338043235,50.0,False,0.20511400825215398
2017-01-23,2017Q1,ALMENDRAL,1185315.906957313,47272.77599999997,18048.204643,1138043.1309573129,63.05575282795251,49.75,False,0.21101568423514394
2017-01-24,2017Q1,ALMENDRAL,1179088.8512266702,47272.77599999997,18048.204643,1131816.0752266701,62.71072927276704,50.0,False,0.20268827073402962
2017-01-25,2017Q1,ALMENDRAL,1195893.598958431,47272.77599999997,18048.204643,1148620.822958431,63.64183284036087,50.0,False,0.2143532364094547
