Date,Date_quarter,Holding,HoldingValue,NetDebt,eqy_shares_total,NAV,NAV_PS,Price,Discount,NetDebt_ffill,LastFinDate,DaysSinceFin,StaleFund,HoldingValue_orig,NetDebt_orig,NAV_orig,eqy_shares_total_orig,NAV_PS_orig
2017-01-03,2017Q1,ALMENDRAL,1163512.9091590897,47272.77599999997,18048.204643,1116240.1331590896,61.84771035339648,,,47272.77599999997,2025-09-30,-3192.0,False,1163512.9091590897,47272.77599999997,1116240.1331590896,18048.204643,61.84771035339648
2017-01-04,2017Q1,ALMENDRAL,1164857.9531969086,47272.77599999997,18048.204643,1117585.1771969085,61.92223544131655,,,47272.77599999997,2025-09-30,-3191.0,False,1164857.9531969086,47272.77599999997,1117585.1771969085,18048.204643,61.92223544131655
2017-01-05,2017Q1,ALMENDRAL,1160789.6101195556,47272.77599999997,18048.204643,1113516.8341195555,61.696820051928725,50.85,0.17580841350979215,47272.77599999997,2025-09-30,-3190.0,False,1160789.6101195556,47272.77599999997,1113516.8341195555,18048.204643,61.696820051928725
2017-01-06,2017Q1,ALMENDRAL,1163164.1940381736,47272.77599999997,18048.204643,1115891.4180381736,61.82838903430609,50.85,0.17756226881820625,47272.77599999997,2025-09-30,-3189.0,False,1163164.1940381736,47272.77599999997,1115891.4180381736,18048.204643,61.82838903430609
2017-01-09,2017Q1,ALMENDRAL,1163247.2214479155,47272.77599999997,18048.204643,1115974.4454479157,61.83298934837523,50.85,0.17762345738284813,47272.77599999997,2025-09-30,-3186.0,False,1163247.2214479155,47272.77599999997,1115974.4454479157,18048.204643,61.83298934837523
2017-01-10,2017Q1,ALMENDRAL,1168096.0221768424,47272.77599999997,18048.204643,1120823.2461768424,62.10164769001297,50.8,0.18198627750468643,47272.77599999997,2025-09-30,-3185.0,False,1168096.0221768424,47272.77599999997,1120823.2461768424,18048.204643,62.10164769001297
2017-01-11,2017Q1,ALMENDRAL,1175983.6261023232,47272.77599999997,18048.204643,1128710.850102323,62.538677526581225,50.8,0.18770268241748256,47272.77599999997,2025-09-30,-3184.0,False,1175983.6261023232,47272.77599999997,1128710.850102323,18048.204643,62.538677526581225
2017-01-12,2017Q1,ALMENDRAL,1187873.1511773632,47272.77599999997,18048.204643,1140600.3751773632,63.19744250128199,50.8,0.196170003256548,47272.77599999997,2025-09-30,-3183.0,False,1187873.1511773632,47272.77599999997,1140600.3751773632,18048.204643,63.19744250128199
2017-01-13,2017Q1,ALMENDRAL,1177494.7249596256,47272.77599999997,18048.204643,1130221.9489596256,62.62240324263956,50.84,0.18814996922087013,47272.77599999997,2025-09-30,-3182.0,False,1177494.7249596256,47272.77599999997,1130221.9489596256,18048.204643,62.62240324263956
2017-01-16,2017Q1,ALMENDRAL,1168245.4715143782,47272.77599999997,18048.204643,1120972.695514378,62.10992825533744,50.0,0.19497572442126865,47272.77599999997,2025-09-30,-3179.0,False,1168245.4715143782,47272.77599999997,1120972.695514378,18048.204643,62.10992825533744
2017-01-17,2017Q1,ALMENDRAL,1187076.088043841,47272.77599999997,18048.204643,1139803.312043841,63.15327948621825,49.0,0.22410996865660604,47272.77599999997,2025-09-30,-3178.0,False,1187076.088043841,47272.77599999997,1139803.312043841,18048.204643,63.15327948621825
2017-01-18,2017Q1,ALMENDRAL,1201207.3531819126,47272.77599999997,18048.204643,1153934.5771819125,63.936252940785785,50.1,0.21640700391998502,47272.77599999997,2025-09-30,-3177.0,False,1201207.3531819126,47272.77599999997,1153934.5771819125,18048.204643,63.936252940785785
2017-01-19,2017Q1,ALMENDRAL,1199596.6214329195,47272.77599999997,18048.204643,1152323.8454329197,63.84700684784447,50.1,0.21531168846497895,47272.77599999997,2025-09-30,-3176.0,False,1199596.6214329195,47272.77599999997,1152323.8454329197,18048.204643,63.84700684784447
2017-01-20,2017Q1,ALMENDRAL,1182542.7914719332,47272.77599999997,18048.204643,1135270.0154719332,62.90210233804324,50.0,0.2051140082521541,47272.77599999997,2025-09-30,-3175.0,False,1182542.7914719332,47272.77599999997,1135270.0154719332,18048.204643,62.90210233804324
2017-01-23,2017Q1,ALMENDRAL,1185315.906957313,47272.77599999997,18048.204643,1138043.1309573129,63.05575282795251,49.75,0.21101568423514394,47272.77599999997,2025-09-30,-3172.0,False,1185315.906957313,47272.77599999997,1138043.1309573129,18048.204643,63.05575282795251
2017-01-24,2017Q1,ALMENDRAL,1179088.8512266702,47272.77599999997,18048.204643,1131816.07522667,62.71072927276704,50.0,0.20268827073402962,47272.77599999997,2025-09-30,-3171.0,False,1179088.8512266702,47272.77599999997,1131816.07522667,18048.204643,62.71072927276704
2017-01-25,2017Q1,ALMENDRAL,1195893.598958431,47272.77599999997,18048.204643,1148620.822958431,63.64183284036087,50.0,0.2143532364094547,47272.77599999997,2025-09-30,-3170.0,False,1195893.598958431,47272.77599999997,1148620.822958431,18048.204643,63.64183284036087
2017-01-26,2017Q1,ALMENDRAL,1194631.5823303538,47272.77599999997,18048.204643,1147358.8063303535,63.57190806650993,50.0,0.21348907841983888,47272.77599999997,2025-09-30,-3169.0,False,1194631.5823303538,47272.77599999997,1147358.8063303535,18048.204643,63.57190806650993
2017-01-27,2017Q1,ALMENDRAL,1179769.6759865538,47272.77599999997,18048.204643,1132496.8999865537,62.74845184813398,50.0,0.2031675917517174,47272.77599999997,2025-09-30,-3168.0,False,1179769.6759865538,47272.77599999997,1132496.8999865537,18048.204643,62.74845184813398
2017-01-30,2017Q1,ALMENDRAL,1170121.8909745452,47272.77599999997,18048.204643,1122849.114974545,62.21389535329999,50.0,0.19632101934688018,47272.77599999997,2025-09-30,-3165.0,False,1170121.8909745452,47272.77599999997,1122849.114974545,18048.204643,62.21389535329999
2017-01-31,2017Q1,ALMENDRAL,1165970.52048745,47272.77599999997,18048.204643,1118697.74448745,61.98387964984302,50.0,0.19333865059015176,47272.77599999997,2025-09-30,-3164.0,False,1165970.52048745,47272.77599999997,1118697.74448745,18048.204643,61.98387964984302
