Holding,pct_holding,eqy_shares,eqy_shares_total,Date,ID
ALMENDRAL S A,0.5486,165674102,302688333,2016-03-01,ENTEL
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0696,21020483,302688333,2016-03-01,ENTEL
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0611,18459143,302688333,2016-03-01,ENTEL
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0347,10465597,302688333,2016-03-01,ENTEL
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.023,6942731,302688333,2016-03-01,ENTEL
BANCHILE CORREDORES DE BOLSA S A,0.0222,6700940,302688333,2016-03-01,ENTEL
AFP HABITAT S A PARA FDO PENSION C,0.0177,5340643,302688333,2016-03-01,ENTEL
LARRAIN VIAL S A CORREDORA DE BOLSA,0.0167,5050094,302688333,2016-03-01,ENTEL
BANCO SANTANDER CHILE,0.016200000000000003,4903551,302688333,2016-03-01,ENTEL
BOLSA DE COMERCIO DE SANTIAGO BOLSA DE VALORES,0.015700000000000002,4747761,302688333,2016-03-01,ENTEL
BANCO DE CHILE POR CUENTA DE MERRILL L.,0.0108,3260292,302688333,2016-03-01,ENTEL
BTG PACTUAL CHILE S A C DE B,0.0101,3055907,302688333,2016-03-01,ENTEL
ALMENDRAL S A,0.5486,165674102,302688333,2016-06-01,ENTEL
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0696,21020483,302688333,2016-06-01,ENTEL
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0611,18459143,302688333,2016-06-01,ENTEL
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0347,10465597,302688333,2016-06-01,ENTEL
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.023,6942731,302688333,2016-06-01,ENTEL
BANCHILE CORREDORES DE BOLSA S A,0.0222,6700940,302688333,2016-06-01,ENTEL
AFP HABITAT S A PARA FDO PENSION C,0.0177,5340643,302688333,2016-06-01,ENTEL
LARRAIN VIAL S A CORREDORA DE BOLSA,0.0167,5050094,302688333,2016-06-01,ENTEL
BANCO SANTANDER CHILE,0.016200000000000003,4903551,302688333,2016-06-01,ENTEL
BOLSA DE COMERCIO DE SANTIAGO BOLSA DE VALORES,0.015700000000000002,4747761,302688333,2016-06-01,ENTEL
BANCO DE CHILE POR CUENTA DE MERRILL L.,0.0108,3260292,302688333,2016-06-01,ENTEL
BTG PACTUAL CHILE S A C DE B,0.0101,3055907,302688333,2016-06-01,ENTEL
ALMENDRAL S A,0.5486,165674102,302688333,2016-09-01,ENTEL
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0696,21020483,302688333,2016-09-01,ENTEL
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0611,18459143,302688333,2016-09-01,ENTEL
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0347,10465597,302688333,2016-09-01,ENTEL
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.023,6942731,302688333,2016-09-01,ENTEL
BANCHILE CORREDORES DE BOLSA S A,0.0222,6700940,302688333,2016-09-01,ENTEL
AFP HABITAT S A PARA FDO PENSION C,0.0177,5340643,302688333,2016-09-01,ENTEL
LARRAIN VIAL S A CORREDORA DE BOLSA,0.0167,5050094,302688333,2016-09-01,ENTEL
BANCO SANTANDER CHILE,0.016200000000000003,4903551,302688333,2016-09-01,ENTEL
BOLSA DE COMERCIO DE SANTIAGO BOLSA DE VALORES,0.015700000000000002,4747761,302688333,2016-09-01,ENTEL
BANCO DE CHILE POR CUENTA DE MERRILL L.,0.0108,3260292,302688333,2016-09-01,ENTEL
BTG PACTUAL CHILE S A C DE B,0.0101,3055907,302688333,2016-09-01,ENTEL
ALMENDRAL S A,0.5486,165674102,302688333,2016-12-01,ENTEL
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0696,21020483,302688333,2016-12-01,ENTEL
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0611,18459143,302688333,2016-12-01,ENTEL
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0347,10465597,302688333,2016-12-01,ENTEL
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.023,6942731,302688333,2016-12-01,ENTEL
BANCHILE CORREDORES DE BOLSA S A,0.0222,6700940,302688333,2016-12-01,ENTEL
AFP HABITAT S A PARA FDO PENSION C,0.0177,5340643,302688333,2016-12-01,ENTEL
LARRAIN VIAL S A CORREDORA DE BOLSA,0.0167,5050094,302688333,2016-12-01,ENTEL
