Holding,pct_holding,eqy_shares,eqy_shares_total,Date,ID
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2017-03-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2017-03-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2017-03-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2017-03-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2017-03-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2017-03-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2017-03-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2017-03-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2017-03-01,SQM-B
INVERSIONES LA ESPERANZA CHILE LIMITADA,0.0149,4246226,286453566,2017-03-01,SQM-B
BANCO SANTANDER CHILE,0.0131,3741117,286453566,2017-03-01,SQM-B
AFP HABITAT S A PARA FDO PENSION C,0.0129,3695251,286453566,2017-03-01,SQM-B
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2017-06-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2017-06-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2017-06-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2017-06-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2017-06-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2017-06-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2017-06-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2017-06-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2017-06-01,SQM-B
INVERSIONES LA ESPERANZA CHILE LIMITADA,0.0149,4246226,286453566,2017-06-01,SQM-B
BANCO SANTANDER CHILE,0.0131,3741117,286453566,2017-06-01,SQM-B
AFP HABITAT S A PARA FDO PENSION C,0.0129,3695251,286453566,2017-06-01,SQM-B
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2017-09-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2017-09-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2017-09-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2017-09-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2017-09-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2017-09-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2017-09-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2017-09-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2017-09-01,SQM-B
INVERSIONES LA ESPERANZA CHILE LIMITADA,0.0149,4246226,286453566,2017-09-01,SQM-B
BANCO SANTANDER CHILE,0.0131,3741117,286453566,2017-09-01,SQM-B
AFP HABITAT S A PARA FDO PENSION C,0.0129,3695251,286453566,2017-09-01,SQM-B
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2017-12-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2017-12-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2017-12-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2017-12-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2017-12-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2017-12-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2017-12-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2017-12-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2017-12-01,SQM-B
INVERSIONES LA ESPERANZA CHILE LIMITADA,0.0149,4246226,286453566,2017-12-01,SQM-B
BANCO SANTANDER CHILE,0.0131,3741117,286453566,2017-12-01,SQM-B
AFP HABITAT S A PARA FDO PENSION C,0.0129,3695251,286453566,2017-12-01,SQM-B
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2018-03-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2018-03-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2018-03-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2018-03-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2018-03-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2018-03-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2018-03-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2018-03-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2018-03-01,SQM-B
INVERSIONES LA ESPERANZA CHILE LIMITADA,0.0149,4246226,286453566,2018-03-01,SQM-B
BANCO SANTANDER CHILE,0.0131,3741117,286453566,2018-03-01,SQM-B
AFP HABITAT S A PARA FDO PENSION C,0.0129,3695251,286453566,2018-03-01,SQM-B
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2018-06-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2018-06-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2018-06-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2018-06-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2018-06-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2018-06-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2018-06-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2018-06-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2018-06-01,SQM-B
INVERSIONES LA ESPERANZA CHILE LIMITADA,0.0149,4246226,286453566,2018-06-01,SQM-B
BANCO SANTANDER CHILE,0.0131,3741117,286453566,2018-06-01,SQM-B
AFP HABITAT S A PARA FDO PENSION C,0.0129,3695251,286453566,2018-06-01,SQM-B
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2018-09-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2018-09-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2018-09-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2018-09-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2018-09-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2018-09-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2018-09-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2018-09-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2018-09-01,SQM-B
INVERSIONES LA ESPERANZA CHILE LIMITADA,0.0149,4246226,286453566,2018-09-01,SQM-B
BANCO SANTANDER CHILE,0.0131,3741117,286453566,2018-09-01,SQM-B
AFP HABITAT S A PARA FDO PENSION C,0.0129,3695251,286453566,2018-09-01,SQM-B
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2018-12-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2018-12-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2018-12-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2018-12-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2018-12-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2018-12-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2018-12-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2018-12-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2018-12-01,SQM-B
INVERSIONES LA ESPERANZA CHILE LIMITADA,0.0149,4246226,286453566,2018-12-01,SQM-B
BANCO SANTANDER CHILE,0.0131,3741117,286453566,2018-12-01,SQM-B
AFP HABITAT S A PARA FDO PENSION C,0.0129,3695251,286453566,2018-12-01,SQM-B
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2019-03-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2019-03-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2019-03-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2019-03-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2019-03-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2019-03-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2019-03-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2019-03-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2019-03-01,SQM-B
INVERSIONES LA ESPERANZA CHILE LIMITADA,0.0149,4246226,286453566,2019-03-01,SQM-B
BANCO SANTANDER CHILE,0.0131,3741117,286453566,2019-03-01,SQM-B
AFP HABITAT S A PARA FDO PENSION C,0.0129,3695251,286453566,2019-03-01,SQM-B
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2019-06-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2019-06-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2019-06-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2019-06-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2019-06-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2019-06-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2019-06-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2019-06-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2019-06-01,SQM-B
INVERSIONES LA ESPERANZA CHILE LIMITADA,0.0149,4246226,286453566,2019-06-01,SQM-B
BANCO SANTANDER CHILE,0.0131,3741117,286453566,2019-06-01,SQM-B
AFP HABITAT S A PARA FDO PENSION C,0.0129,3695251,286453566,2019-06-01,SQM-B
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2019-09-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2019-09-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2019-09-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2019-09-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2019-09-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2019-09-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2019-09-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2019-09-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2019-09-01,SQM-B
INVERSIONES LA ESPERANZA CHILE LIMITADA,0.0149,4246226,286453566,2019-09-01,SQM-B
BANCO SANTANDER CHILE,0.0131,3741117,286453566,2019-09-01,SQM-B
AFP HABITAT S A PARA FDO PENSION C,0.0129,3695251,286453566,2019-09-01,SQM-B
INVERSIONES TLC SPA,0.21899999999999997,62556568,286453566,2019-12-01,SQM-B
THE BANK OF NEW YORK MELLON ADRS,0.1728,49351983,286453566,2019-12-01,SQM-B
SOCIEDAD DE INVERSIONES PAMPA CALICHERA SA,0.1519,43386616,286453566,2019-12-01,SQM-B
POTASIOS DE CHILE SA,0.0636,18179147,286453566,2019-12-01,SQM-B
BANCO DE CHILE POR CUENTA DE STATE STREET,0.0418,11945333,286453566,2019-12-01,SQM-B
GLOBAL MINING SPA,0.0308,8798539,286453566,2019-12-01,SQM-B
BANCO SANTANDER POR CUENTA DE INV EXTRANJEROS,0.0286,8170861,286453566,2019-12-01,SQM-B
BANCO DE CHILE POR CUENTA DE CITI NA NEW YORK CLIE,0.0176,5015099,286453566,2019-12-01,SQM-B
BANCO DE CHILE POR CUENTA DE TERCEROS NO RESIDENTES,0.0163,4645000,286453566,2019-12-01,SQM-B
