Date,Date_quarter,ID,Holding,pct_holding,Price,eqy_shares_total
2017-01-03,2017Q1,AGUAS-A,IAM,0.501,349.89,6140.335714
2017-01-04,2017Q1,AGUAS-A,IAM,0.501,355.46,6140.335714
2017-01-05,2017Q1,AGUAS-A,IAM,0.501,374.64,6140.335714
2017-01-06,2017Q1,AGUAS-A,IAM,0.501,372.48,6140.335714
2017-01-07,2017Q1,AGUAS-A,IAM,0.501,372.48,6140.335714
2017-01-08,2017Q1,AGUAS-A,IAM,0.501,372.48,6140.335714
2017-01-09,2017Q1,AGUAS-A,IAM,0.501,369.15,6140.335714
2017-01-10,2017Q1,AGUAS-A,IAM,0.501,365.87,6140.335714
2017-01-11,2017Q1,AGUAS-A,IAM,0.501,367.62,6140.335714
2017-01-12,2017Q1,AGUAS-A,IAM,0.501,375.61,6140.335714
2017-01-13,2017Q1,AGUAS-A,IAM,0.501,364.72,6140.335714
2017-01-14,2017Q1,AGUAS-A,IAM,0.501,364.72,6140.335714
2017-01-15,2017Q1,AGUAS-A,IAM,0.501,364.72,6140.335714
2017-01-16,2017Q1,AGUAS-A,IAM,0.501,362.02,6140.335714
2017-01-17,2017Q1,AGUAS-A,IAM,0.501,361.11,6140.335714
2017-01-18,2017Q1,AGUAS-A,IAM,0.501,361.89,6140.335714
2017-01-19,2017Q1,AGUAS-A,IAM,0.501,360.8,6140.335714
2017-01-20,2017Q1,AGUAS-A,IAM,0.501,356.91,6140.335714
2017-01-21,2017Q1,AGUAS-A,IAM,0.501,356.91,6140.335714
2017-01-22,2017Q1,AGUAS-A,IAM,0.501,356.91,6140.335714
2017-01-23,2017Q1,AGUAS-A,IAM,0.501,351.86,6140.335714
2017-01-24,2017Q1,AGUAS-A,IAM,0.501,353.1,6140.335714
2017-01-25,2017Q1,AGUAS-A,IAM,0.501,357.82,6140.335714
2017-01-26,2017Q1,AGUAS-A,IAM,0.501,360.6,6140.335714
2017-01-27,2017Q1,AGUAS-A,IAM,0.501,356.1,6140.335714
2017-01-28,2017Q1,AGUAS-A,IAM,0.501,356.1,6140.335714
