Date,Date_quarter,Holding,HoldingValue
2017-01-03,2017Q1,ALMENDRAL,1163512.9091590897
2017-01-03,2017Q1,ANTARCHILE,5322462.935710088
2017-01-03,2017Q1,IAM,1076369.4735487013
2017-01-03,2017Q1,INVERCAP,311166.58655562147
2017-01-03,2017Q1,QUINENCO,0.0
2017-01-04,2017Q1,ALMENDRAL,1164857.9531969086
2017-01-04,2017Q1,ANTARCHILE,5341138.066583424
2017-01-04,2017Q1,IAM,1093504.5101821183
2017-01-04,2017Q1,INVERCAP,308107.08167559933
2017-01-04,2017Q1,QUINENCO,0.0
2017-01-05,2017Q1,ALMENDRAL,1160789.6101195556
2017-01-05,2017Q1,ANTARCHILE,5337599.874326089
2017-01-05,2017Q1,IAM,1152508.1013183729
2017-01-05,2017Q1,INVERCAP,310958.72210517415
2017-01-05,2017Q1,QUINENCO,0.0
2017-01-06,2017Q1,ALMENDRAL,1163164.1940381736
2017-01-06,2017Q1,ANTARCHILE,5407519.746129531
2017-01-06,2017Q1,IAM,1145863.2756221106
2017-01-06,2017Q1,INVERCAP,306418.1830157145
2017-01-06,2017Q1,QUINENCO,0.0
2017-01-07,2017Q1,ALMENDRAL,1163164.1940381736
2017-01-07,2017Q1,ANTARCHILE,5407519.746129531
2017-01-07,2017Q1,IAM,1145863.2756221106
2017-01-07,2017Q1,INVERCAP,306418.1830157145
2017-01-07,2017Q1,QUINENCO,0.0
2017-01-08,2017Q1,ALMENDRAL,1163164.1940381736
2017-01-08,2017Q1,ANTARCHILE,5407519.746129531
2017-01-08,2017Q1,IAM,1145863.2756221106
2017-01-08,2017Q1,INVERCAP,306418.1830157145
2017-01-08,2017Q1,QUINENCO,0.0
2017-01-09,2017Q1,ALMENDRAL,1163247.2214479155
2017-01-09,2017Q1,ANTARCHILE,5391117.725623643
2017-01-09,2017Q1,IAM,1135619.169340373
2017-01-09,2017Q1,INVERCAP,324249.05540565215
2017-01-09,2017Q1,QUINENCO,0.0
2017-01-10,2017Q1,ALMENDRAL,1168096.0221768424
2017-01-10,2017Q1,ANTARCHILE,5385212.207468778
2017-01-10,2017Q1,IAM,1125528.878468271
2017-01-10,2017Q1,INVERCAP,339026.9186796442
2017-01-10,2017Q1,QUINENCO,0.0
2017-01-11,2017Q1,ALMENDRAL,1175983.6261023232
2017-01-11,2017Q1,ANTARCHILE,5429903.052217091
2017-01-11,2017Q1,IAM,1130912.4178055208
2017-01-11,2017Q1,INVERCAP,340501.45712500514
2017-01-11,2017Q1,QUINENCO,0.0
2017-01-12,2017Q1,ALMENDRAL,1187873.1511773632
2017-01-12,2017Q1,ANTARCHILE,5526190.473073066
2017-01-12,2017Q1,IAM,1155492.1202653055
2017-01-12,2017Q1,INVERCAP,343541.4747127978
2017-01-12,2017Q1,QUINENCO,0.0
2017-01-13,2017Q1,ALMENDRAL,1177494.7249596256
2017-01-13,2017Q1,ANTARCHILE,5535046.6289374875
2017-01-13,2017Q1,IAM,1121991.12404665
2017-01-13,2017Q1,INVERCAP,341696.6777150775
2017-01-13,2017Q1,QUINENCO,0.0
2017-01-14,2017Q1,ALMENDRAL,1177494.7249596256
2017-01-14,2017Q1,ANTARCHILE,5535046.6289374875
2017-01-14,2017Q1,IAM,1121991.12404665
2017-01-14,2017Q1,INVERCAP,341696.6777150775
2017-01-14,2017Q1,QUINENCO,0.0
2017-01-15,2017Q1,ALMENDRAL,1177494.7249596256
2017-01-15,2017Q1,ANTARCHILE,5535046.6289374875
2017-01-15,2017Q1,IAM,1121991.12404665
2017-01-15,2017Q1,INVERCAP,341696.6777150775
2017-01-15,2017Q1,QUINENCO,0.0
2017-01-16,2017Q1,ALMENDRAL,1168245.4715143782
2017-01-16,2017Q1,ANTARCHILE,5460438.293978875
2017-01-16,2017Q1,IAM,1113685.091926322
2017-01-16,2017Q1,INVERCAP,353096.7436692999
2017-01-16,2017Q1,QUINENCO,0.0
2017-01-17,2017Q1,ALMENDRAL,1187076.088043841
2017-01-17,2017Q1,ANTARCHILE,5523196.910152549
2017-01-17,2017Q1,IAM,1110885.6514709524
2017-01-17,2017Q1,INVERCAP,354675.2143398845
2017-01-17,2017Q1,QUINENCO,0.0
2017-01-18,2017Q1,ALMENDRAL,1201207.3531819126
2017-01-18,2017Q1,ANTARCHILE,5608104.092350382
2017-01-18,2017Q1,IAM,1113285.1718612693
2017-01-18,2017Q1,INVERCAP,354668.718575808
2017-01-18,2017Q1,QUINENCO,0.0
2017-01-19,2017Q1,ALMENDRAL,1199596.6214329195
2017-01-19,2017Q1,ANTARCHILE,5566270.099253284
2017-01-19,2017Q1,IAM,1109931.9959312112
2017-01-19,2017Q1,INVERCAP,349803.3912825245
2017-01-19,2017Q1,QUINENCO,0.0
2017-01-20,2017Q1,ALMENDRAL,1182542.7914719332
2017-01-20,2017Q1,ANTARCHILE,5617050.100645786
2017-01-20,2017Q1,IAM,1097965.1570615538
2017-01-20,2017Q1,INVERCAP,347503.8907994506
2017-01-20,2017Q1,QUINENCO,0.0
2017-01-21,2017Q1,ALMENDRAL,1182542.7914719332
2017-01-21,2017Q1,ANTARCHILE,5617050.100645786
2017-01-21,2017Q1,IAM,1097965.1570615538
2017-01-21,2017Q1,INVERCAP,347503.8907994506
2017-01-21,2017Q1,QUINENCO,0.0
2017-01-22,2017Q1,ALMENDRAL,1182542.7914719332
2017-01-22,2017Q1,ANTARCHILE,5617050.100645786
2017-01-22,2017Q1,IAM,1097965.1570615538
2017-01-22,2017Q1,INVERCAP,347503.8907994506
2017-01-22,2017Q1,QUINENCO,0.0
2017-01-23,2017Q1,ALMENDRAL,1185315.906957313
2017-01-23,2017Q1,ANTARCHILE,5613356.869379219
2017-01-23,2017Q1,IAM,1082429.800688348
2017-01-23,2017Q1,INVERCAP,368758.0308576931
2017-01-23,2017Q1,QUINENCO,0.0
2017-01-24,2017Q1,ALMENDRAL,1179088.8512266702
2017-01-24,2017Q1,ANTARCHILE,5694370.21087815
2017-01-24,2017Q1,IAM,1086244.4228473136
2017-01-24,2017Q1,INVERCAP,375403.1975079322
2017-01-24,2017Q1,QUINENCO,0.0
2017-01-25,2017Q1,ALMENDRAL,1195893.598958431
2017-01-25,2017Q1,ANTARCHILE,5756850.114088936
2017-01-25,2017Q1,IAM,1100764.5975169232
2017-01-25,2017Q1,INVERCAP,369355.64115272934
2017-01-25,2017Q1,QUINENCO,0.0
2017-01-26,2017Q1,ALMENDRAL,1194631.5823303538
2017-01-26,2017Q1,ANTARCHILE,5840558.259918609
2017-01-26,2017Q1,IAM,1109316.7342926685
2017-01-26,2017Q1,INVERCAP,369602.4801876355
2017-01-26,2017Q1,QUINENCO,0.0
2017-01-27,2017Q1,ALMENDRAL,1179769.6759865538
2017-01-27,2017Q1,ANTARCHILE,5639088.030031944
2017-01-27,2017Q1,IAM,1095473.3474254555
2017-01-27,2017Q1,INVERCAP,378040.4777229831
2017-01-27,2017Q1,QUINENCO,0.0
2017-01-28,2017Q1,ALMENDRAL,1179769.6759865538
2017-01-28,2017Q1,ANTARCHILE,5639088.030031944
2017-01-28,2017Q1,IAM,1095473.3474254555
2017-01-28,2017Q1,INVERCAP,378040.4777229831
2017-01-28,2017Q1,QUINENCO,0.0
2017-01-29,2017Q1,ALMENDRAL,1179769.6759865538
2017-01-29,2017Q1,ANTARCHILE,5639088.030031944
2017-01-29,2017Q1,IAM,1095473.3474254555
2017-01-29,2017Q1,INVERCAP,378040.4777229831
2017-01-29,2017Q1,QUINENCO,0.0
2017-01-30,2017Q1,ALMENDRAL,1170121.8909745452
2017-01-30,2017Q1,ANTARCHILE,5450719.872612849
2017-01-30,2017Q1,IAM,1095811.7413266539
2017-01-30,2017Q1,INVERCAP,383289.0550967789
2017-01-30,2017Q1,QUINENCO,0.0
2017-01-31,2017Q1,ALMENDRAL,1165970.52048745
2017-01-31,2017Q1,ANTARCHILE,5468884.813888823
2017-01-31,2017Q1,IAM,1082645.142261838
2017-01-31,2017Q1,INVERCAP,387037.11096890783
2017-01-31,2017Q1,QUINENCO,0.0
2017-02-01,2017Q1,ALMENDRAL,1166933.638440456
2017-02-01,2017Q1,ANTARCHILE,5505775.867248861
2017-02-01,2017Q1,IAM,1081722.2498040237
2017-02-01,2017Q1,INVERCAP,397138.02410783427
2017-02-01,2017Q1,QUINENCO,0.0
2017-02-02,2017Q1,ALMENDRAL,1164110.7065092314
2017-02-02,2017Q1,ANTARCHILE,5498973.025636145
2017-02-02,2017Q1,IAM,1077169.313678807
2017-02-02,2017Q1,INVERCAP,404738.06807731587
2017-02-02,2017Q1,QUINENCO,0.0
2017-02-03,2017Q1,ALMENDRAL,1179620.2266490182
2017-02-03,2017Q1,ANTARCHILE,5632914.568507796
2017-02-03,2017Q1,IAM,1090151.3342520602
2017-02-03,2017Q1,INVERCAP,404621.1443239392
2017-02-03,2017Q1,QUINENCO,0.0
2017-02-04,2017Q1,ALMENDRAL,1179620.2266490182
2017-02-04,2017Q1,ANTARCHILE,5632914.568507796
2017-02-04,2017Q1,IAM,1090151.3342520602
