Date,Date_quarter,Holding,Total_NAV_MCLP,Total_NAV_MUSD,Shares_outstanding,NAV_CLP_per_share,SourceFile
2017-03-31,2017Q1,QUINENCO,4822203.344340135,7262.682567495723,1662759593,2900.1205974940576,01-2017.xls
2017-06-30,2017Q2,QUINENCO,5004909.637884011,7534.223965262176,1662759593,3010.001962372687,02-2017.xls
2017-09-30,2017Q3,QUINENCO,5501571.6179954205,8624.099224045618,1662759593,3308.699370105165,03-2017.xls
2017-12-31,2017Q4,QUINENCO,5617227.88615921,9137.418277607498,1662759593,3378.2561891731093,04-2017.xls
2018-03-31,2018Q1,QUINENCO,5486593.981142545,9092.948144885639,1662759593,3299.6916717488125,01-2018.xls
2018-06-30,2018Q2,QUINENCO,5354454.349883844,8222.31591941746,1662759593,3220.221595728808,02-2018.xls
2018-09-30,2018Q3,QUINENCO,5532221.38705297,8376.822911257943,1662759593,3327.1324431643015,03-2018.xls
2018-12-31,2018Q4,QUINENCO,5519833.859598019,7944.836218601868,1662759593,3319.68246211647,04-2018.xls
2019-03-31,2019Q1,QUINENCO,5882385.908002831,8669.308516945206,1662759593,3537.7248357290523,01-2019.xls
2019-06-30,2019Q2,QUINENCO,5862348.19360839,8631.890147402475,1662759593,3525.6739568895637,02-2019.xls
2019-09-30,2019Q3,QUINENCO,5861808.796291451,8049.613155946019,1662759593,3525.3495580292533,03-2019.xls
2019-12-31,2019Q4,QUINENCO,5368810.51177463,7170.460389153284,1662759593,3228.8555329204646,04-2019.xls
2020-03-31,2020Q1,QUINENCO,4617586.39906645,5419.511518451756,1662759593,2777.0619508111,01-2020.xls
2020-06-30,2020Q2,QUINENCO,4978154.934396816,6061.8279098386765,1662759593,2993.91142012002,02-2020.xls
2020-09-30,2020Q3,QUINENCO,4723349.871474742,5992.95803016525,1662759593,2840.669145052253,03-2020.xls
2020-12-31,2020Q4,QUINENCO,5379128.360488201,7566.11345451607,1662759593,3235.0607887836736,04-2020.xls
2021-03-31,2021Q1,QUINENCO,6404632.359340614,8872.894016985694,1662759593,3851.8089965039303,01-2021.xls
2021-06-30,2021Q2,QUINENCO,7033898.478825789,9665.134768090838,1662759593,4230.25584001294,02-2021.xls
2021-09-30,2021Q3,QUINENCO,7038580.72925288,8669.27051268984,1662759593,4233.071791547247,03-2021.xls
2021-12-31,2021Q4,QUINENCO,7456585.187929409,8827.599696846664,1662759593,4484.463790989783,04-2021.xls
2022-03-31,2022Q1,QUINENCO,6862809.883088625,8709.370647844646,1662759593,4127.36147304767,01-2022.xls
2022-06-30,2022Q2,QUINENCO,6839053.320018841,7337.410222318726,1662759593,4113.074041978383,02-2022.xls
2022-09-30,2022Q3,QUINENCO,6466488.257130214,6734.24170741712,1662759593,3889.0097428114577,03-2022.xls
2022-12-31,2022Q4,QUINENCO,6665276.90990044,7787.812153740614,1662759593,4008.5631969650826,04-2022.xls
2023-03-31,2023Q1,QUINENCO,6994103.489110271,8848.703190888615,1662759593,4206.322741155444,01-2023.xls
2023-06-30,2023Q2,QUINENCO,6100145.438550327,7609.392309146432,1662759593,3668.687562670599,02-2023.xls
2023-09-30,2023Q3,QUINENCO,6311693.62405289,7047.447101443602,1662759593,3795.914725510707,03-2023.xls
2023-12-31,2023Q4,QUINENCO,6825113.728951469,7781.277053255507,1662759593,4104.690634583799,04-2023.xls
2024-03-31,2024Q1,QUINENCO,8178665.026040581,8331.039742938932,1662759593,4918.729719240045,01-2024.xls
2024-06-30,2024Q2,QUINENCO,7948062.492519453,8416.526349110973,1662759593,4780.043083786589,02-2024.xls
2024-09-30,2024Q3,QUINENCO,8247850.46681093,9187.962822844365,1662759593,4960.3385249036,03-2024.xls
2024-12-31,2024Q4,QUINENCO,7864571.991267534,7892.511481913507,1662759593,4729.831073822308,04-2024.xls
2025-03-31,2025Q1,QUINENCO,8486928.362674294,8904.832134758512,1662759593,5104.122326765186,01-2025.xls
2025-06-30,2025Q2,QUINENCO,8650749.310771529,9267.799394454296,1662759593,5202.645858842162,02-2025.xls
