ID,Date_quarter,eqy_shares_total
SQM-A,2017Q1,53787770
SQM-B,2017Q1,1611227
SQM-A,2017Q2,53787770
SQM-B,2017Q2,1611227
SQM-A,2017Q3,53787770
SQM-B,2017Q3,1611227
SQM-A,2017Q4,53787770
SQM-B,2017Q4,1611227
SQM-A,2018Q1,53787770
SQM-B,2018Q1,1611227
SQM-A,2018Q2,53787770
SQM-B,2018Q2,1611227
SQM-A,2018Q3,53787770
SQM-B,2018Q3,1611227
SQM-A,2018Q4,53787770
SQM-B,2018Q4,1611227
SQM-A,2019Q1,53787770
SQM-B,2019Q1,1611227
SQM-A,2019Q2,53787770
SQM-B,2019Q2,1611227
SQM-A,2019Q3,53787770
SQM-B,2019Q3,1611227
SQM-A,2019Q4,53787770
SQM-B,2019Q4,1611227
SQM-A,2020Q1,53787770
SQM-B,2020Q1,1611227
SQM-A,2020Q2,53787770
SQM-B,2020Q2,1611227
SQM-A,2020Q3,53787770
SQM-B,2020Q3,1611227
SQM-A,2020Q4,53787770
SQM-B,2020Q4,1611227
SQM-A,2021Q1,53787770
SQM-B,2021Q1,1611227
SQM-A,2021Q2,53787770
SQM-B,2021Q2,1611227
SQM-A,2021Q3,53787770
SQM-B,2021Q3,1611227
SQM-A,2021Q4,53787770
SQM-B,2021Q4,1611227
SQM-A,2022Q1,53787770
SQM-B,2022Q1,1611227
SQM-A,2022Q2,53787770
SQM-B,2022Q2,1611227
SQM-A,2022Q3,53787770
SQM-B,2022Q3,1611227
SQM-A,2022Q4,53787770
SQM-B,2022Q4,1611227
SQM-A,2023Q1,53787770
SQM-B,2023Q1,1611227
SQM-A,2023Q2,53787770
SQM-B,2023Q2,1611227
SQM-A,2023Q3,53787770
SQM-B,2023Q3,1611227
SQM-A,2023Q4,53787770
SQM-B,2023Q4,1611227
SQM-A,2024Q1,53787770
SQM-B,2024Q1,1611227
SQM-A,2024Q2,53787770
SQM-B,2024Q2,1611227
SQM-A,2024Q3,53787770
SQM-B,2024Q3,1611227
SQM-A,2024Q4,53787770
SQM-B,2024Q4,1611227
SQM-A,2025Q1,53787770
SQM-B,2025Q1,1611227
SQM-A,2025Q2,53787770
SQM-B,2025Q2,1611227
SQM-A,2025Q3,53787770
SQM-B,2025Q3,1611227
