ID,RUT,IS_HOLDING,GROUP
ALMENDRAL,94270000,1,ALMENDRAL S A
ENTEL,92580000,-1,ALMENDRAL S A
IAM,77274820,1,INV AGUAS METROPOLITANAS S A
AGUAS-A,61808000,-1,INV AGUAS METROPOLITANAS S A
CAP,91297000,-1,INVERCAP SA
INVERCAP,96708470,1,INVERCAP SA
ANTARCHILE,96556310,1,ANTARCHILE S.A.
COLBUN,96505760,-1,ANTARCHILE S.A.
COPEC,90690000,-1,ANTARCHILE S.A.
NUTRAVALOR,91643000,-1,ANTARCHILE S.A.
SQM-B,93007000,-1,SOCIEDAD DE INVERSIONES ORO BLANCO SA
ORO_BLANCO,96532830,1,SOCIEDAD DE INVERSIONES ORO BLANCO SA
PAMPA_CALICHERA,96511530,-1,SOCIEDAD DE INVERSIONES ORO BLANCO SA
SQM-A,11,-1,SOCIEDAD DE INVERSIONES ORO BLANCO SA
