Date,USDCLP
2016-12-01,673.54
2016-12-02,674.76
2016-12-03,674.76
2016-12-04,674.76
2016-12-05,672.58
2016-12-06,668.9
2016-12-07,662.05
2016-12-08,662.05
2016-12-09,656.07
2016-12-10,656.07
2016-12-11,656.07
2016-12-12,653.55
2016-12-13,649.4
2016-12-14,650.25
2016-12-15,654.94
2016-12-16,663.68
2016-12-17,663.68
2016-12-18,663.68
2016-12-19,670.16
2016-12-20,677.11
2016-12-21,676.09
2016-12-22,672.24
2016-12-23,674.96
2016-12-24,674.96
2016-12-25,674.96
2016-12-26,673.48
2016-12-27,672.69
2016-12-28,673.73
2016-12-29,673.06
2016-12-30,667.29
2016-12-31,667.29
2017-01-01,667.29
2017-01-02,667.29
2017-01-03,669.47
2017-01-04,673.36
2017-01-05,671.78
2017-01-06,666.41
2017-01-07,666.41
2017-01-08,666.41
2017-01-09,665.29
2017-01-10,670.35
2017-01-11,670.94
2017-01-12,671.69
2017-01-13,663.01
2017-01-14,663.01
2017-01-15,663.01
2017-01-16,660.13
2017-01-17,661.38
2017-01-18,657.85
2017-01-19,658.91
2017-01-20,660.18
2017-01-21,660.18
2017-01-22,660.18
2017-01-23,659.49
2017-01-24,652.92
2017-01-25,653.84
2017-01-26,650.98
2017-01-27,648.31
2017-01-28,648.31
2017-01-29,648.31
2017-01-30,649.92
2017-01-31,648.87
2017-02-01,646.19
2017-02-02,646.97
2017-02-03,643.18
2017-02-04,643.18
2017-02-05,643.18
2017-02-06,641.8
2017-02-07,639.35
2017-02-08,646.06
2017-02-09,646.58
2017-02-10,646.82
2017-02-11,646.82
2017-02-12,646.82
2017-02-13,642.62
2017-02-14,642.4
2017-02-15,641.89
2017-02-16,639.93
2017-02-17,638.35
2017-02-18,638.35
2017-02-19,638.35
2017-02-20,643.49
2017-02-21,642.21
2017-02-22,643.63
2017-02-23,641.51
2017-02-24,640.36
2017-02-25,640.36
2017-02-26,640.36
2017-02-27,645.66
2017-02-28,645.19
2017-03-01,648.88
2017-03-02,650.98
2017-03-03,654.11
2017-03-04,654.11
2017-03-05,654.11
2017-03-06,655.57
2017-03-07,658.71
2017-03-08,660.02
2017-03-09,661.65
2017-03-10,664.84
2017-03-11,664.84
2017-03-12,664.84
2017-03-13,663.4
2017-03-14,665.43
2017-03-15,669.07
2017-03-16,669.52
2017-03-17,661.2
2017-03-18,661.2
2017-03-19,661.2
2017-03-20,661.15
2017-03-21,662.35
2017-03-22,657.83
2017-03-23,662.84
2017-03-24,662.42
2017-03-25,662.42
2017-03-26,662.42
2017-03-27,661.64
2017-03-28,663.74
2017-03-29,666.04
2017-03-30,663.61
2017-03-31,662.66
2017-04-01,662.66
2017-04-02,662.66
2017-04-03,663.97
2017-04-04,658.16
2017-04-05,661.42
2017-04-06,657.74
2017-04-07,656.51
2017-04-08,656.51
2017-04-09,656.51
2017-04-10,656.47
2017-04-11,654.22
2017-04-12,652.8
2017-04-13,653.65
2017-04-14,653.65
2017-04-15,653.65
2017-04-16,653.65
2017-04-17,650.0
2017-04-18,647.47
2017-04-19,647.47
2017-04-20,647.68
2017-04-21,649.26
2017-04-22,649.26
2017-04-23,649.26
2017-04-24,650.65
2017-04-25,653.71
2017-04-26,660.04
2017-04-27,665.35
2017-04-28,664.28
2017-04-29,664.28
2017-04-30,664.28
2017-05-01,664.28
2017-05-02,665.41
2017-05-03,666.95
2017-05-04,668.98
2017-05-05,673.89
2017-05-06,673.89
2017-05-07,673.89
2017-05-08,674.88
2017-05-09,676.32
2017-05-10,679.05
2017-05-11,672.92
2017-05-12,671.55
2017-05-13,671.55
2017-05-14,671.55
2017-05-15,671.03
2017-05-16,668.03
2017-05-17,666.26
2017-05-18,668.62
2017-05-19,675.8
2017-05-20,675.8
2017-05-21,675.8
2017-05-22,670.3
2017-05-23,668.21
2017-05-24,672.4
2017-05-25,674.27
2017-05-26,669.42
2017-05-27,669.42
2017-05-28,669.42
2017-05-29,670.25
2017-05-30,674.02
2017-05-31,675.31
2017-06-01,672.35
2017-06-02,672.37
2017-06-03,672.37
2017-06-04,672.37
2017-06-05,670.41
2017-06-06,668.89
2017-06-07,668.7
2017-06-08,668.36
2017-06-09,666.28
2017-06-10,666.28
2017-06-11,666.28
2017-06-12,664.47
2017-06-13,661.63
2017-06-14,662.19
2017-06-15,659.46
2017-06-16,665.23
2017-06-17,665.23
2017-06-18,665.23
2017-06-19,663.73
2017-06-20,662.47
2017-06-21,663.76
2017-06-22,664.54
2017-06-23,664.0
2017-06-24,664.0
2017-06-25,664.0
2017-06-26,664.0
2017-06-27,661.72
2017-06-28,662.09
2017-06-29,662.36
2017-06-30,663.21
2017-07-01,663.21
2017-07-02,663.21
2017-07-03,664.29
2017-07-04,661.95
2017-07-05,663.36
2017-07-06,665.94
2017-07-07,666.22
2017-07-08,666.22
2017-07-09,666.22
2017-07-10,666.61
2017-07-11,666.53
2017-07-12,666.59
2017-07-13,663.46
2017-07-14,660.71
2017-07-15,660.71
2017-07-16,660.71
2017-07-17,658.18
2017-07-18,656.92
2017-07-19,656.01
2017-07-20,653.71
2017-07-21,651.56
2017-07-22,651.56
2017-07-23,651.56
2017-07-24,651.82
2017-07-25,650.65
